,Country Name,Travel Destination,Checking,Things to Do,location,reviewcount
0,Indonesia,Bintan,Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Transportasi (21)', 'Tur dengan Perahu & Olahraga Air (20)', 'Pemandangan & Tengara (16)', 'Spa & Kebugaran (11)', 'Wisata Alam & Taman (9)', 'Hiburan malam (6)', 'Tempat Belanja (4)', 'Kebun Binatang & Akuarium (2)', 'Makanan & Minuman (1)', 'Kursus & Sanggar (1)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Sumber Informasi Wisatawan (1)', 'Cocok untuk Pasangan (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)', 'Lokasi bulan madu (5)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Tempat yang Belum Populer (3)', 'Berjiwa petualang (2)']","Bintan Regency, Indonesia",25006
2,Indonesia,Seminyak,Seminyak,"['Tur (204)', 'Spa & Kebugaran (164)', 'Aktivitas Luar Ruangan (140)', 'Tempat Belanja (74)', 'Tur dengan Perahu & Olahraga Air (73)', 'Transportasi (45)', 'Hiburan malam (25)', 'Kursus & Sanggar (25)', 'Makanan & Minuman (23)', 'Museum (11)', 'Hiburan & Permainan (9)', 'Wisata Alam & Taman (4)', 'Pemandangan & Tengara (2)', 'Konser & Pertunjukan (1)', 'Bagus Saat Hujan (162)', 'Cocok untuk Pasangan (153)', 'Harga terjangkau (96)', 'Lokasi bulan madu (72)', 'Cocok untuk Anak-Anak (61)', 'Cocok untuk Kelompok Besar (61)', 'Masuk Gratis (38)', 'Cocok untuk Penggemar Aktivitas Ekstrem (37)', 'Tempat yang Belum Populer (12)', 'Berjiwa petualang (12)']","Kecamatan Kuta, Indonesia",451212
3,Indonesia,Bali,Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)', 'Tur dengan Perahu & Olahraga Air (2.078)', 'Spa & Kebugaran (1.294)', 'Transportasi (1.247)', 'Tempat Belanja (766)', 'Kursus & Sanggar (431)', 'Pemandangan & Tengara (364)', 'Makanan & Minuman (349)', 'Wisata Alam & Taman (320)', 'Hiburan & Permainan (206)', 'Hiburan malam (193)', 'Museum (135)', 'Konser & Pertunjukan (47)', 'Taman Air & Taman Hiburan (22)', '', '', '', '', 'Lihat semua', 'Cocok untuk Pasangan (2.253)', 'Harga terjangkau (1.715)', 'Cocok untuk Anak-Anak (1.421)', 'Bagus Saat Hujan (1.380)', 'Cocok untuk Kelompok Besar (1.244)', 'Lokasi bulan madu (873)', 'Cocok untuk Penggemar Aktivitas Ekstrem (684)', 'Masuk Gratis (437)', 'Berjiwa petualang (346)', 'Tempat yang Belum Populer (327)']",Indonesia,2998882
4,Indonesia,Ubud,Ubud,"['Tur (884)', 'Aktivitas Luar Ruangan (525)', 'Spa & Kebugaran (302)', 'Transportasi (216)', 'Tur dengan Perahu & Olahraga Air (192)', 'Tempat Belanja (176)', 'Kursus & Sanggar (136)', 'Makanan & Minuman (86)', 'Hiburan & Permainan (57)', 'Museum (44)', 'Pemandangan & Tengara (33)', 'Hiburan malam (21)', 'Konser & Pertunjukan (21)', 'Wisata Alam & Taman (8)', 'Sumber Informasi Wisatawan (3)', 'Cocok untuk Pasangan (427)', 'Harga terjangkau (374)', 'Bagus Saat Hujan (346)', 'Cocok untuk Anak-Anak (238)', 'Cocok untuk Kelompok Besar (214)', 'Lokasi bulan madu (194)', 'Tempat yang Belum Populer (112)', 'Cocok untuk Penggemar Aktivitas Ekstrem (80)', 'Masuk Gratis (64)', 'Berjiwa petualang (55)']","Gianyar Regency, Indonesia",610495
5,Indonesia,Jakarta,Jakarta,"['Tur (168)', 'Tempat Belanja (148)', 'Spa & Kebugaran (142)', 'Aktivitas Luar Ruangan (113)', 'Hiburan & Permainan (85)', 'Transportasi (67)', 'Pemandangan & Tengara (58)', 'Museum (52)', 'Wisata Alam & Taman (51)', 'Hiburan malam (38)', 'Kursus & Sanggar (35)', 'Tur dengan Perahu & Olahraga Air (35)', 'Makanan & Minuman (28)', 'Taman Air & Taman Hiburan (21)', 'Konser & Pertunjukan (17)', '', '', '', 'Lihat semua', 'Kebayoran Baru (56)', 'Setiabudi (38)', 'Cilandak (34)', 'Mampang Prapatan (27)', 'Menteng (16)', 'Pasar Minggu (15)', 'Penjaringan (14)', 'Tebet (12)', 'Jatinegara (7)', 'Gambir (4)', 'Palmerah (3)', 'Tanah Abang (3)', 'Pademangan (3)', 'Sawah Besar (2)', 'Grogol Petamburan (2)', '', 'Lihat semua', 'Bagus Saat Hujan (144)', 'Cocok untuk Anak-Anak (105)', 'Masuk Gratis (100)', 'Harga terjangkau (99)', 'Cocok untuk Kelompok Besar (63)', 'Cocok untuk Pasangan (56)', 'Cocok untuk Penggemar Aktivitas Ekstrem (14)', 'Berjiwa petualang (8)', 'Tempat yang Belum Populer (7)', 'Lokasi bulan madu (1)']","Jawa, Indonesia",339358
6,Indonesia,Kuta,Kuta,"['Tur (691)', 'Aktivitas Luar Ruangan (402)', 'Tur dengan Perahu & Olahraga Air (248)', 'Transportasi (203)', 'Spa & Kebugaran (162)', 'Tempat Belanja (107)', 'Hiburan malam (44)', 'Makanan & Minuman (30)', 'Hiburan & Permainan (22)', 'Kursus & Sanggar (19)', 'Pemandangan & Tengara (12)', 'Wisata Alam & Taman (12)', 'Museum (9)', 'Konser & Pertunjukan (6)', 'Taman Air & Taman Hiburan (4)', '', '', 'Lihat semua', 'Cocok untuk Pasangan (222)', 'Bagus Saat Hujan (173)', 'Harga terjangkau (168)', 'Cocok untuk Anak-Anak (157)', 'Cocok untuk Kelompok Besar (130)', 'Lokasi bulan madu (70)', 'Cocok untuk Penggemar Aktivitas Ekstrem (59)', 'Masuk Gratis (58)', 'Berjiwa petualang (25)', 'Tempat yang Belum Populer (16)']","Kecamatan Kuta, Indonesia",364605
7,Indonesia,Kuta,Kuta,"['Tur (691)', 'Aktivitas Luar Ruangan (402)', 'Tur dengan Perahu & Olahraga Air (248)', 'Transportasi (203)', 'Spa & Kebugaran (162)', 'Tempat Belanja (107)', 'Hiburan malam (44)', 'Makanan & Minuman (30)', 'Hiburan & Permainan (22)', 'Kursus & Sanggar (19)', 'Pemandangan & Tengara (12)', 'Wisata Alam & Taman (12)', 'Museum (9)', 'Konser & Pertunjukan (6)', 'Taman Air & Taman Hiburan (4)', '', '', 'Lihat semua', 'Cocok untuk Pasangan (222)', 'Bagus Saat Hujan (173)', 'Harga terjangkau (168)', 'Cocok untuk Anak-Anak (157)', 'Cocok untuk Kelompok Besar (130)', 'Lokasi bulan madu (70)', 'Cocok untuk Penggemar Aktivitas Ekstrem (59)', 'Masuk Gratis (58)', 'Berjiwa petualang (25)', 'Tempat yang Belum Populer (16)']","Lombok, Indonesia",26536
10,Indonesia,Legian,Legian,"['Tur (78)', 'Spa & Kebugaran (62)', 'Aktivitas Luar Ruangan (61)', 'Tur dengan Perahu & Olahraga Air (49)', 'Tempat Belanja (29)', 'Hiburan malam (18)', 'Transportasi (10)', 'Kursus & Sanggar (6)', 'Pemandangan & Tengara (6)', 'Makanan & Minuman (4)', 'Hiburan & Permainan (3)', 'Museum (2)', 'Wisata Alam & Taman (1)', 'Bagus Saat Hujan (43)', 'Harga terjangkau (38)', 'Cocok untuk Pasangan (34)', 'Cocok untuk Anak-Anak (23)', 'Cocok untuk Kelompok Besar (18)', 'Lokasi bulan madu (16)', 'Masuk Gratis (16)', 'Cocok untuk Penggemar Aktivitas Ekstrem (11)', 'Berjiwa petualang (4)', 'Tempat yang Belum Populer (1)']","Kecamatan Kuta, Indonesia",161368
11,Indonesia,Yogyakarta,Yogyakarta,"['Tur (377)', 'Aktivitas Luar Ruangan (228)', 'Transportasi (123)', 'Pemandangan & Tengara (105)', 'Tempat Belanja (103)', 'Wisata Alam & Taman (95)', 'Spa & Kebugaran (50)', 'Museum (48)', 'Tur dengan Perahu & Olahraga Air (44)', 'Kursus & Sanggar (39)', 'Hiburan & Permainan (33)', 'Makanan & Minuman (30)', 'Hiburan malam (12)', 'Taman Air & Taman Hiburan (10)', 'Konser & Pertunjukan (7)', '', '', '', 'Lihat semua', 'Harga terjangkau (129)', 'Cocok untuk Anak-Anak (127)', 'Cocok untuk Pasangan (110)', 'Cocok untuk Kelompok Besar (94)', 'Bagus Saat Hujan (63)', 'Masuk Gratis (54)', 'Cocok untuk Penggemar Aktivitas Ekstrem (35)', 'Tempat yang Belum Populer (33)', 'Lokasi bulan madu (19)', 'Berjiwa petualang (16)']","Jawa, Indonesia",163279
12,Indonesia,Yogyakarta,Yogyakarta,"['Tur (377)', 'Aktivitas Luar Ruangan (228)', 'Transportasi (123)', 'Pemandangan & Tengara (105)', 'Tempat Belanja (103)', 'Wisata Alam & Taman (95)', 'Spa & Kebugaran (50)', 'Museum (48)', 'Tur dengan Perahu & Olahraga Air (44)', 'Kursus & Sanggar (39)', 'Hiburan & Permainan (33)', 'Makanan & Minuman (30)', 'Hiburan malam (12)', 'Taman Air & Taman Hiburan (10)', 'Konser & Pertunjukan (7)', '', '', '', 'Lihat semua', 'Harga terjangkau (129)', 'Cocok untuk Anak-Anak (127)', 'Cocok untuk Pasangan (110)', 'Cocok untuk Kelompok Besar (94)', 'Bagus Saat Hujan (63)', 'Masuk Gratis (54)', 'Cocok untuk Penggemar Aktivitas Ekstrem (35)', 'Tempat yang Belum Populer (33)', 'Lokasi bulan madu (19)', 'Berjiwa petualang (16)']","Yogyakarta, Indonesia",18058
